kategoria;narocnost;otazka;odpoved
Logika a hádanky;1;Koľko mesiacov má rok v zime?;Štyri  
Logika a hádanky;1;Aké je opak pravdy?;Lož  
Logika a hádanky;1;Čo je to, čo sa nikdy nesníva?;Skutočnosť  
Logika a hádanky;1;Aký je najmenší kontinent?;Austrália  
Logika a hádanky;1;Koľko zubov má dieťa?;Dvadsať  
Logika a hádanky;1;Aké je opak ticha?;Hlas  
Logika a hádanky;1;Čo je to, čo je vo vzduchu, ale nie je to vták?;Vietor  
Logika a hádanky;1;Koľko očí má mačka?;Dve  
Logika a hádanky;1;Aký je opak hmoty?;Prázdnota  
Logika a hádanky;1;Čo je to, čo je vždy s tebou, ale nie je to viditeľné?;Duša  
Logika a hádanky;1;Koľko mesiacov má jún?;Jeden  
Logika a hádanky;1;Aký je opak šedého?;Farebný  
Logika a hádanky;1;Čo je to, čo prekoná každú prekážku?;Vôľa  
Logika a hádanky;1;Koľko strán má šesťuholník?;Šesť  
Logika a hádanky;1;Aký je opak pobrežia?;Hlbina  
Logika a hádanky;1;Čo je to, čo má jazyk, ale nič nehovorí?;Okenná roleta  
Logika a hádanky;1;Koľko písmen má slovo "auto"?;Štyri  
Logika a hádanky;1;Aký je opak zima?;Leto  
Logika a hádanky;1;Čo je to, čo sa nedá zjesť na raňajky?;Hory  
Logika a hádanky;1;Koľko mesiacov má september?;Jeden  
Logika a hádanky;1;Aký je opak pod?;Nad  
Logika a hádanky;1;Čo je to, čo sa nedá vidieť, ale cítiť?;Vôňa  
Logika a hádanky;1;Koľko farieb má základná paleta?;Štyri  
Logika a hádanky;1;Aký je opak dažďa?;Slnečno  
Logika a hádanky;1;Čo je to, čo má jedno krídlo, ale nelieta?;Dvere  
Logika a hádanky;1;Koľko prstov má človek na nohách?;Dvadsať
Logika a hádanky;2;Aký je opak pravdy?;Lož  
Logika a hádanky;2;Čo je to, čo sa stále pohybuje, ale nikdy neodíde?;Hodiny  
Logika a hádanky;2;Koľko mesiacov má apríl?;Jeden  
Logika a hádanky;2;Aký tvar má koláč?;Kruhový  
Logika a hádanky;2;Čo je to, čo sa dá zlomiť, ale nie je to fyzické?;Sľub  
Logika a hádanky;2;Koľko hviezd je na vlajke USA?;Pätnásť  
Logika a hádanky;2;Aký je opak dňa?;Noc  
Logika a hádanky;2;Kto je známy ako kráľ zvierat?;Lev  
Logika a hádanky;2;Čo je to, čo je vždy pred tebou, ale nikdy to nevidíš?;Budúcnosť  
Logika a hádanky;2;Aké je opak tepla?;Zima  
Logika a hádanky;2;Koľko strán má päťuholník?;Päť  
Logika a hádanky;2;Čo je to, čo má klobúk, ale nie je to hlava?;Huba  
Logika a hádanky;2;Aký je opak lásky?;Nenávisť  
Logika a hádanky;2;Koľko mesiacov má rok?;Dvanásť  
Logika a hádanky;2;Aké zviera je známe svojou pomalosťou?;Želva  
Logika a hádanky;2;Aký je opak slnka?;Mesiac  
Logika a hádanky;2;Čo je to, čo má chvost, ale nie je to zviera?;Kométa  
Logika a hádanky;2;Čo je to, čo je vo vnútri, ale von to nevidíš?;Srdce  
Logika a hádanky;2;Ktoré ovocie je známe ako "kráľovná ovocia"?;Mango  
Logika a hádanky;2;Čo je to, čo je hmotné, ale nie je to viditeľné?;Vzduch  
Logika a hádanky;2;Aký je opak pravej?;Ľavá  
Logika a hádanky;2;Čo je to, čo ti patrí, ale ostatní to používajú častejšie?;Meno  
Logika a hádanky;2;Aké číslo je 2 plus 2?;Štyri  
Logika a hádanky;2;Koľko prstov má človek na oboch rukách?;Desať  
Logika a hádanky;2;Aké zviera je známe svojou pomalosťou?;Slon  
Logika a hádanky;2;Kto je najznámejší detektív v literatúre?;Holmes  
Logika a hádanky;2;Čo je to, čo má jazyk, ale nehovorí?;Topánka  
Logika a hádanky;2;Koľko rokov má dospelý človek?;Dvadsať  
Logika a hádanky;2;Aké je opak šťastia?;Nešťastie  
Logika a hádanky;2;Čo je to, čo má štyri rohy a nie je to zviera?;Stôl  
Logika a hádanky;2;Aký je opak bielej?;Čierna  
Logika a hádanky;2;Čo je to, čo sa dá zjesť, ale nie je to jedlo?;Slovo  
Logika a hádanky;2;Aký je opak neba?;Pôda  
Logika a hádanky;2;Čo je to, čo má štyri nohy a spí na zemi?;Pes  
Logika a hádanky;2;Ktoré zviera je známe svojim štekaním?;Pes  
Logika a hádanky;2;Aký je opak šťastia?;Smutok  
Logika a hádanky;2;Čo je to, čo sa nedá zjesť na raňajky?;Kameň  
Logika a hádanky;2;Koľko strán má štvorec?;Štyri  
Logika a hádanky;2;Aký je opak šedého?;Farebný  
Logika a hádanky;2;Čo je to, čo sa ti páči, ale nie je to hmotné?;Myšlienka  
Logika a hádanky;2;Koľko mesiacov má rok v zime?;Tri  
Logika a hádanky;2;Aký je opak ticha?;Hlas  
Logika a hádanky;2;Čo je to, čo má oči, ale nevidí?;Búran  
Logika a hádanky;2;Koľko prstov má človek na nohách?;Dvadsať  
Logika a hádanky;2;Aký je opak chudoby?;Bohatstvo  
Logika a hádanky;2;Čo je to, čo sa nikdy nevráti?;Čas  
Logika a hádanky;2;Koľko dní má február?;Dvadsaťosem  
Logika a hádanky;2;Aký je opak zima?;Leto  
Logika a hádanky;2;Čo je to, čo má jazyk, ale nič nehovorí?;Mapa  
Logika a hádanky;2;Koľko mesiacov má rok v lete?;Štyri  
Logika a hádanky;2;Aký je opak pravdy?;Lož
Logika a hádanky;2;Aký je najznámejší symbol lásky?;srdce  
Logika a hádanky;2;Ktoré zviera je známe pre svoju múdrosť?;sova  
Logika a hádanky;2;Aký je opak dlhého?;krátky  
Logika a hádanky;2;Čo sa vždy pohybuje, ale nikdy sa nezastaví?;čas  
Logika a hádanky;2;Koľko mesiacov má rok v normálnom roku?;dvanásť  
Logika a hádanky;2;Aký je najčastejší tvar v architektúre?;štvorec  
Logika a hádanky;2;Čo je to, čo sa nedá vidieť, ale cítiť?;vzduch  
Logika a hádanky;2;Ktoré číslo je nula plus jeden?;jeden  
Logika a hádanky;2;Aká je farba pečeného chleba?;hnedá  
Logika a hádanky;2;Čo je to, čo sa môže zlomiť, ale nie je to fyzické?;sľub  
Logika a hádanky;2;Aká je farba ľadu?;biela  
Logika a hádanky;2;Čo je to, čo je vždy s tebou, ale nie je to viditeľné?;myšlienky  
Logika a hádanky;2;Aký je opak lásky?;nenávisť  
Logika a hádanky;2;Koľko farieb má dúha?;sedem  
Logika a hádanky;2;Čo je to, čo je vo vnútri, ale von to nevidíš?;tajomstvo  
Logika a hádanky;2;Aký tvar má čtverec?;štvorec  
Logika a hádanky;2;Ktoré ovocie je známe svojou kyslosťou?;citrón  
Logika a hádanky;2;Čo je to, čo má jazyk, ale nehovorí?;hodiny  
Logika a hádanky;2;Aký je opak klidného?;hlučný  
Logika a hádanky;2;Koľko mesiacov má rok v lete?;tri  
Logika a hádanky;2;Aký je najmenší kontinent?;Austrália  
Logika a hádanky;2;Čo je to, čo je vo vode, ale nie je to ryba?;lode  
Logika a hádanky;2;Aké je opak nového?;starý  
Logika a hádanky;2;Čo je to, čo sa dá spáliť, ale nie je to jedlo?;papier  
Logika a hádanky;2;Ktoré zviera je známe svojím spevom?;vták  
Logika a hádanky;2;Aký je opak tmy?;svetlo  
Logika a hádanky;2;Koľko prstov má človek na jednej ruke?;päť  
Logika a hádanky;2;Čo je to, čo je vždy pred tebou, ale nikdy to nevidíš?;budúcnosť  
Logika a hádanky;2;Aký je opak pravej?;ľavá  
Logika a hádanky;2;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;myšlienka  
Logika a hádanky;2;Koľko strán má osemuholník?;osem  
Logika a hádanky;2;Aký je opak dňa?;noc  
Logika a hádanky;2;Čo je to, čo má nohy, ale nechodí?;stôl  
Logika a hádanky;2;Aká je farba mlieka?;biela  
Logika a hádanky;2;Koľko strán má päťuholník?;päť  
Logika a hádanky;2;Čo je to, čo je vo vzduchu, ale nie je to vták?;prach  
Logika a hádanky;2;Aký je opak úspechu?;neúspech  
Logika a hádanky;2;Ktoré zviera je známe svojou rýchlosťou?;kôň  
Logika a hádanky;2;Čo je to, čo nemá hmotnosť, ale môže ťa ťažiť?;starosti  
Logika a hádanky;2;Aká farba je spojená s láskou?;červená  
Logika a hádanky;2;Koľko písmen je v slove "dom"?;tri  
Logika a hádanky;2;Čo je to, čo sa nedá vidieť, ale cítiť?;emócie  
Logika a hádanky;2;Aký je opak slnka?;mesiac  
Logika a hádanky;2;Čo je to, čo sa nedá zjesť na obed?;snívanie  
Logika a hádanky;2;Koľko mesiacov má rok v zime?;tri  
Logika a hádanky;2;Čo je to, čo má oči, ale nevidí?;zrkadlo  
Logika a hádanky;2;Aký je najčastejší tvar v prírode?;kruh  
Logika a hádanky;2;Čo je to, čo môžeš získať, ale nikdy to nevidíš?;vedomosti  
Logika a hádanky;2;Aký je opak svetla?;tma  
Logika a hádanky;2;Čo je to, čo sa stále pohybuje, ale nikdy neodíde?;čas  
Logika a hádanky;2;Koľko strán má trojuholník?;tri  
Logika a hádanky;2;Čo je to, čo je čierne a biele?;panda  
Logika a hádanky;2;Aký je opak mŕtveho?;živý
Logika a hádanky;3;Čo je to, čo je vždy s tebou, ale nie je to viditeľné?;Duša  
Logika a hádanky;3;Čo je to, čo sa nikdy nevráti?;Minulosť  
Logika a hádanky;3;Aký je opak šťastia?;Smútenie  
Logika a hádanky;3;Kto je najznámejší detektív v literatúre?;Sherlock Holmes  
Logika a hádanky;3;Čo je to, čo sa nedá zjesť na raňajky?;Noc  
Logika a hádanky;3;Kde sa nachádza najhlbšie miesto na Zemi?;Mariánsky priekop  
Logika a hádanky;3;Čo je to, čo má jazyk, ale nehovorí?;Topánka  
Logika a hádanky;3;Ktoré číslo je nula plus jeden?;Jedna  
Logika a hádanky;3;Kto je známy ako kráľ zvierat?;Lev  
Logika a hádanky;3;Čo je to, čo vidíš, ale nedotýkaš sa?;Vzduch  
Logika a hádanky;3;Aké číslo je nula plus nula?;Nula  
Logika a hádanky;3;Čo je to, čo nemá hmotnosť, ale môže ťa ťažiť?;Pocit  
Logika a hádanky;3;Kto je známy svojou múdrosťou?;Sova  
Logika a hádanky;3;Čo je to, čo prekoná každú prekážku?;Vôľa  
Logika a hádanky;3;Aký je opak lásky?;Nenávisť  
Logika a hádanky;3;Aký je najčastejší tvar v architektúre?;Kvádr  
Logika a hádanky;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;Myšlienka  
Logika a hádanky;3;Čo sa vždy pohybuje, ale nikdy sa nezastaví?;Čas  
Logika a hádanky;3;Čo je to, čo je vo vnútri, ale von to nevidíš?;Srdce  
Logika a hádanky;3;Aký je opak klidného?;Búrlivý  
Logika a hádanky;3;Čo je to, čo má nohy, ale nechodí?;Stôl  
Logika a hádanky;3;Ktoré zviera je známe svojou rýchlosťou?;Gepard  
Logika a hádanky;3;Čo je to, čo sa dá zlomiť, ale nie je to fyzické?;Sľub  
Logika a hádanky;3;Aký je opak úspechu?;Zlyhanie  
Logika a hádanky;3;Čo je to, čo má štyri nohy a nie je to zviera?;Stôl  
Logika a hádanky;3;Aký je opak dňa?;Noc  
Logika a hádanky;3;Čo je to, čo nemôžeš chytiť, ale môžeš to cítiť?;Vzduch  
Logika a hádanky;3;Kto je známy pre svoju múdrosť?;Sova  
Logika a hádanky;3;Čo je to, čo má oči, ale nevidí?;Zrno  
Logika a hádanky;3;Čo je to, čo je vo vode, ale nie je to ryba?;Lodný  
Logika a hádanky;3;Ktoré ovocie je známe svojou kyslosťou?;Citrón  
Logika a hádanky;3;Čo je to, čo sa nedá vidieť, ale cítiť?;Láska  
Logika a hádanky;3;Aký je opak tmy?;Svetlo  
Logika a hádanky;3;Čo je to, čo sa nedá zjesť na obed?;Noc  
Logika a hádanky;3;Aký je opak bielej?;Čierna  
Logika a hádanky;3;Čo je to, čo sa dá zlomiť, ale nie je to fyzické?;Sľub  
Logika a hádanky;3;Kto je známy pre svoj spev?;Slávik  
Logika a hádanky;3;Čo je to, čo je vo vzduchu, ale nie je to vták?;Prach  
Logika a hádanky;3;Kde sa nachádza najväčší vodopád?;Angel  
Logika a hádanky;3;Čo je to, čo je vždy pred tebou, ale nikdy to nevidíš?;Budúcnosť  
Logika a hádanky;3;Aký je opak tepla?;Chlad  
Logika a hádanky;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;Myšlienka  
Logika a hádanky;3;Čo je to, čo má štyri rohy a nie je to dom?;Stôl  
Logika a hádanky;3;Ktoré zviera je známe svojim štekaním?;Pes  
Logika a hádanky;3;Čo je to, čo sa nikdy nesníva?;Realita  
Logika a hádanky;3;Aký je opak pravdy?;Lož
Logika a hádanky;3;Čo je to, čo je vždy s tebou, ale nie je to viditeľné?;Tajomstvo  
Logika a hádanky;3;Čo je to, čo nemôžeš chytiť, ale môžeš to cítiť?;Vzduch  
Logika a hádanky;3;Aká je farba zeme počas dažďa?;Hnedá  
Logika a hádanky;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;Myšlienka  
Logika a hádanky;3;Kto je známy svojou múdrosťou?;Sofokles  
Logika a hádanky;3;Čo je to, čo má jazyk, ale nič nehovorí?;Mapa  
Logika a hádanky;3;Kde sa nachádza najväčší vodopád?;Venezuela  
Logika a hádanky;3;Čo je to, čo má štyri nohy a nie je to zviera?;Stôl  
Logika a hádanky;3;Aký je opak pravdy?;Lož  
Logika a hádanky;3;Čo je to, čo sa nedá vidieť, ale môžeš to cítiť?;Láska  
Logika a hádanky;3;Kto je známy pre svoj spev?;Pavarotti  
Logika a hádanky;3;Čo je to, čo nemá hmotnosť, ale môže ťa ťažiť?;Svedomie  
Logika a hádanky;3;Aké je opak klidného?;Rozrušený  
Logika a hádanky;3;Čo je to, čo prekoná každú prekážku?;Odvaha  
Logika a hádanky;3;Kde sa nachádza najväčší oceán?;Tichý  
Logika a hádanky;3;Čo je to, čo je vo vzduchu, ale nie je to vták?;Prach  
Logika a hádanky;3;Aké číslo je nula plus dva?;Dva  
Logika a hádanky;3;Čo je to, čo má oči, ale nevidí?;Hrnček  
Logika a hádanky;3;Kto je známy ako kráľ zvierat?;Lev  
Logika a hádanky;3;Čo je to, čo je vo vode, ale nie je to ryba?;Sneh  
Logika a hádanky;3;Aké je opak mŕtveho?;Živý  
Logika a hádanky;3;Čo je to, čo sa dá zlomiť, ale nie je to fyzické?;Srdce  
Logika a hádanky;3;Aký je opak šťastia?;Smútenie  
Logika a hádanky;3;Čo je to, čo je vždy pred tebou, ale nikdy to nevidíš?;Budúcnosť  
Logika a hádanky;3;Kde sa nachádza najhlbšie miesto na Zemi?;Mariánska priekopa  
Logika a hádanky;3;Čo je to, čo má štyri rohy a nie je to dom?;Stôl  
Logika a hádanky;3;Čo je to, čo je čierne a biele?;Panda  
Logika a hádanky;3;Aké je opak tmy?;Svetlo  
Logika a hádanky;3;Čo je to, čo sa nedá zjesť na obed?;Slnko  
Logika a hádanky;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;Emócia  
Logika a hádanky;3;Kedy je najlepší čas na spánok?;Noc  
Logika a hádanky;3;Čo je to, čo má klobúk, ale nie je to hlava?;Huba  
Logika a hádanky;3;Aké je opak šťastia?;Nešťastie  
Logika a hádanky;3;Čo je to, čo je v noci a nie je to deň?;Tma  
Logika a hádanky;3;Kto je známy pre svoj spev?;Madonna  
Logika a hádanky;3;Čo je to, čo sa nedá vidieť, ale môžeš to cítiť?;Emócia  
Logika a hádanky;3;Aký je opak dňa?;Noc  
Logika a hádanky;3;Čo je to, čo má oči, ale nevidí?;Hrnček  
Logika a hádanky;3;Čo je to, čo sa môže zlomiť, ale nie je to fyzické?;Srdce  
Logika a hádanky;3;Kto je známy ako kráľ zvierat?;Lev  
Logika a hádanky;3;Čo je to, čo je vo vzduchu, ale nie je to vták?;Prach  
Logika a hádanky;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;Myšlienka  
Logika a hádanky;3;Aké je opak klidného?;Rozrušený  
Logika a hádanky;3;Čo je to, čo je vo vode, ale nie je to ryba?;Sneh  
Logika a hádanky;3;Čo je to, čo nemôžeš chytiť, ale môžeš to cítiť?;Vzduch  
Logika a hádanky;3;Čo je to, čo je vždy s tebou, ale nie je to viditeľné?;Tajomstvo  
Logika a hádanky;3;Aké číslo je nula plus dva?;Dva  
Logika a hádanky;3;Čo je to, čo prekoná každú prekážku?;Odvaha  
Logika a hádanky;3;Čo je to, čo má klobúk, ale nie je to hlava?;Huba
Logika;3;Čo sa môže zlomiť, ale nie je to fyzické?;sľub  
Logika;3;Čo je to, čo má jazyk, ale nič nehovorí?;topánka  
Logika;3;Čo je to, čo je vo vnútri, ale von to nevidíš?;myseľ  
Logika;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;myšlienka  
Logika;3;Čo je to, čo prekoná každú prekážku?;čas  
Logika;3;Koľko mesiacov má rok v priestore?;dvanásť  
Logika;3;Aký je opak pravdy?;loš  
Logika;3;Čo je to, čo sa nikdy nevráti?;minulosť  
Logika;3;Čo je to, čo sa vždy pohybuje, ale nikdy sa nezastaví?;čas  
Logika;3;Čo je to, čo má štyri nohy a nie je to zviera?;stôl  
Logika;3;Čo je to, čo letí, ale nemá krídla?;myšlienka  
Logika;3;Aký je opak dňa?;noc  
Logika;3;Čo je to, čo má klobúk a nechodí?;hubka  
Logika;3;Aký je opak tepla?;chlad  
Logika;3;Čo je to, čo si oblečieš, ale nikdy to nevidíš?;tien  
Logika;3;Čo je to, čo je vždy pred tebou, ale nikdy to nevidíš?;budúcnosť  
Logika;3;Koľko prstov má človek na jednej ruke?;päť  
Logika;3;Čo je to, čo nemôžeš chytiť, ale môžeš to cítiť?;vzduch  
Logika;3;Čo je to, čo má jednu hlavu a štyri nohy?;stôl  
Logika;3;Čo je to, čo má nohy, ale nechodí?;stolička  
Logika;3;Čo je to, čo má štyri rohy a nie je to zviera?;stôl  
Logika;3;Čo je to, čo má oči, ale nevidí?;zrnko  
Logika;3;Čo je to, čo je vo vzduchu, ale nie je to vták?;práca  
Logika;3;Čo je to, čo sa nedá vidieť, ale môžeš to cítiť?;láska  
Logika;3;Čo je to, čo má jazyk, ale nič nehovorí?;topánka  
Logika;3;Čo je to, čo je vo vode, ale nie je to ryba?;kameň  
Logika;3;Čo je to, čo sa nedá zjesť na raňajky?;láska  
Logika;3;Čo je to, čo má štyri nohy a spí na zemi?;stolička  
Logika;3;Čo je to, čo sa nikdy nesníva?;skutočnosť  
Logika;3;Čo je to, čo sa dá zlomiť, ale nie je to fyzické?;sľub  
Logika;3;Čo je to, čo sa nedá vidieť, ale cítiť?;vôňa  
Logika;3;Čo je to, čo má štyri nohy a nie je to zviera?;stôl  
Logika;3;Čo je to, čo má jazyk, ale nehovorí?;topánka  
Logika;3;Čo je to, čo je vo vnútri, ale von to nevidíš?;myseľ  
Logika;3;Čo je to, čo prekoná každú prekážku?;čas  
Logika;3;Čo je to, čo sa dá preniesť, ale nie je to hmotné?;myšlienka  
Logika;3;Čo je to, čo sa nedá zjesť na obed?;úzkosť  
Logika;3;Čo je to, čo sa nedá vidieť, ale môžeš to cítiť?;láska  
Logika;3;Čo je to, čo je vo vode, ale nie je to ryba?;kameň  
Logika;3;Čo je to, čo má klobúk, ale nie je to hlava?;hubka  
Logika;3;Aký je opak klidného?;rozrušený  
Logika;3;Čo je to, čo má štyri nohy a spí na zemi?;stolička  
Logika;3;Čo je to, čo sa nikdy nevráti?;minulosť  
Logika;3;Čo je to, čo sa dá zlomiť, ale nie je to fyzické?;sľub  
Logika;3;Čo je to, čo má oči, ale nevidí?;zrnko  
Logika;3;Čo je to, čo letí, ale nemá krídla?;myšlienka  
Logika;3;Čo je to, čo je vo vzduchu, ale nie je to vták?;práca  
Logika;3;Čo je to, čo sa vždy pohybuje, ale nikdy sa nezastaví?;čas  
Logika;3;Čo je to, čo je vždy pred tebou, ale nikdy to nevidíš?;budúcnosť  
Logika;3;Čo je to, čo má jazyk, ale nič nehovorí?;topánka
